otu_id	^ncbi:accession	^ot:originalLabel	^ncbi:TaxonName	^physcraper:status	^physcraper:last_blasted	^ncbi:taxon	^ncbi:gi	^physcraper:TaxonName	^ncbi:title	^ot:ottTaxonName	^ot:ottId
otu376428	-	Sterculia_tragacantha	-	original	2020/04/29	66668	-	-	-	Sterculia tragacantha	770769
otu376440	-	Sterculia_stipulata	-	original	2020/04/29	300530	-	-	-	Sterculia stipulata	638563
otu376436	-	Sterculia_coccina	-	original	2020/04/29	300531	-	-	-	Sterculia coccinea	638561
otu376444	-	Sterculia_parviflora	-	original	2020/04/29	300533	-	-	-	Sterculia parviflora	638557
otu376450	-	Sterculia_balanghas	-	original	2020/04/29	300532	-	-	-	Sterculia balanghas	638559
otu376432	-	Hildegardia_barteri	-	original	2020/04/29	82431	-	-	-	Hildegardia barteri	336228
otu376449	-	Firmiana_malayana	-	original	2020/04/29	300539	-	-	-	Firmiana malayana	638539
otu376425	-	Firmiana_simplex	-	original	2020/04/29	190243	-	-	-	Firmiana platanifolia	283034
otu376448	-	Hildegardia_populifolia	-	original	2020/04/29	300540	-	-	-	Hildegardia populifolia	269830
otu376433	-	Pterocymbium_tinctorium	-	original	2020/04/29	300542	-	-	-	Pterocymbium tinctorium	269825
otu376451	-	Scaphium_macropodum_B	-	original	2020/04/29	300543	-	-	-	Scaphium macropodum	269827
otu376434	-	Scaphium_linearicarpum	-	original	2020/04/29	300544	-	-	-	Scaphium linearicarpum	269821
otu376426	-	Scaphium_macropodum_A	-	original	2020/04/29	300543	-	-	-	Scaphium macropodum	269827
otu376437	-	Cola_acuminata	-	original	2020/04/29	93760	-	-	-	Cola acuminata	1053097
otu376438	-	Pterygota_alata	-	original	2020/04/29	300553	-	-	-	Pterygota alata	793342
otu376447	-	Octolobus_spectabilis	-	original	2020/04/29	300538	-	-	-	Octolobus spectabilis	536207
otu376442	-	Acropogon_bullatus	-	original	2020/04/29	300547	-	-	-	Acropogon bullatus	269819
otu376429	-	Acropogon_dzumacensis	-	original	2020/04/29	300546	-	-	-	Acropogon dzumacensis	269817
otu376443	-	Franciscodendron_laurifolium	-	original	2020/04/29	300551	-	-	-	Franciscodendron laurifolium	793340
otu376431	-	Argyrodendron_peralatum	-	original	2020/04/29	300549	-	-	-	Argyrodendron peralatum	269815
otu376453	-	Brachychiton_acerifolius_B	-	original	2020/04/29	93745	-	-	-	Brachychiton acerifolius	5551
otu376441	-	Brachychiton_acerifolius_A	-	original	2020/04/29	93745	-	-	-	Brachychiton acerifolius	5551
otu376445	-	Heritiera_elata	-	original	2020/04/29	300536	-	-	-	Heritiera elata	536243
otu376454	-	Heritiera_littoralis	-	original	2020/04/29	93780	-	-	-	Heritiera littoralis	108610
otu376427	-	Heritiera_simplicifolia	-	original	2020/04/29	300534	-	-	-	Heritiera simplicifolia	638569
otu376435	-	Heritiera_aurea_A	-	original	2020/04/29	300535	-	-	-	Heritiera aurea	638567
otu376446	-	Heritiera_aurea_B	-	original	2020/04/29	300535	-	-	-	Heritiera aurea	638567
otu376430	-	Ochroma_pyramidale	-	original	2020/04/29	66662	-	-	-	Ochroma pyramidale	861917
otu376420	-	Bombax_buonopozense	-	original	2020/04/29	66654	-	-	-	Bombax buonopozense	312752
otu376439	-	Pachira_aquatica	-	original	2020/04/29	69118	-	-	-	Pachira aquatica	84784
